protocol,n,speed,alpha,pkt_sent,pkt_recv,pdr,delay_mean_ms,lifetime_mean_ms,lifetime_std_ms,lifetime_min_ms,lifetime_max_ms,lifetime_count,hop_count_avg,network_secure_ratio,secure_ratio_src,cs_mean,cs_std,cs_min,cs_max,cs_count,mcs_mean,mcs_std,mcs_min,mcs_max,mcs_count,link_broken_total,retry_limit_total,hop_limit_drops,no_route_drops
GPSRCS,20,fast,,1000.0,845.6,0.8455999999999999,1.4777322526226402,,,,,,1.238,0.8110879407649119,0.7787336900273519,3.207493610887166,2.6973278772021,0.0,13.6570993234876,1238.0,1.17139769587932,1.695138361071758,0.0,8.14040155162844,845.6,81.2,81.2,51.0,0.0
GPSRCS,20,slow,,1000.0,931.6,0.9316000000000001,1.47216343365456,,,,,,1.1141999999999999,0.7404431486440511,0.867895717118512,2.7212356534240603,1.87797340113584,0.0,8.88562205740878,1114.2,1.20703526384322,2.01397478998772,0.0,8.88562205740878,931.6,12.4,12.4,39.2,0.0
GPSRCS,40,fast,,1000.0,908.8,0.9088,2.8364535369197617,,,,,,1.0097999999999998,0.7282887662249524,0.6428061404244619,2.282783706011842,1.816792874557234,0.0,9.90833160060722,1009.8,1.6261842108324422,1.936058401792056,0.0,9.43390218504264,908.8,72.6,72.6,5.6,0.0
GPSRCS,40,slow,,1000.0,980.4,0.9804,2.3028576707722,,,,,,1.0,0.6604892282718128,0.706,1.93663500145923,1.313820415824432,0.0,7.171329746428659,1000.0,0.86242242543467,1.362314796743862,0.0,7.171329746428659,980.4,19.6,19.6,0.0,0.0
GPSRCS,60,fast,,1000.0,956.6,0.9565999999999999,1.56326040005389,,,,,,1.0,0.7283021391342017,0.6856,2.8372613260820536,2.43565704419688,0.0,11.81027333960604,1000.0,2.724786826378852,2.57033184231746,0.0,11.81027333960604,956.6,32.2,32.2,0.2,0.0
GPSRCS,60,slow,,1000.0,957.6,0.9576,6.568585562801539,,,,,,1.0,0.6953403019515215,0.6662,1.6988692652793713,1.233257549423238,0.0,6.0640659573588795,1000.0,0.684281099044284,1.1460720129520339,0.0,5.83410836063336,957.6,33.2,33.2,0.2,0.0
GPSRCS,80,fast,,1000.0,957.4,0.9574,1.651572747090578,,,,,,1.0,0.7755646006702517,0.7253999999999999,2.472323701914672,1.6552790678661542,0.0,9.2296879650634,1000.0,2.3912593480686137,1.7467833196107918,0.0,9.2296879650634,957.4,32.2,32.2,0.6,0.0
GPSRCS,80,slow,,1000.0,963.4,0.9634,6.78618098194018,,,,,,1.0,0.7131729177940167,0.5888,1.646722146267352,1.309400232301326,0.0,7.25341380467826,1000.0,0.8725483597204959,1.36705669405299,0.0,7.25341380467826,963.4,26.2,26.2,0.8,0.0
GPSRCS,100,fast,,1000.0,892.8,0.8928,3.7638372738326695,,,,,,1.0,0.735912720550054,0.6794,2.096225411003485,1.4674744354978961,0.0,7.69714838979956,1000.0,1.297078055535208,1.4791827342500379,0.0,7.69714838979956,892.8,69.2,69.2,1.2,0.0
GPSRCS,100,slow,,1000.0,965.4,0.9654,9.99071702465762,,,,,,1.0,0.6774495305045016,0.5906,1.5289597109938657,1.2644675314481781,0.0,6.61582935730078,1000.0,0.8022082389398617,1.347062636484898,0.0,6.61582935730078,965.4,20.6,20.6,1.2,0.0
