config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e900,1.3975399865855,0.58437542236158,0.032235529186259,2.6871950547718,72.0,2.2227058815674,0.69620855054005,0.090907665940932,5.36641341154,3598.0,0.0012081468576806,3598,1.0,1,1000.0,72.0,0.072,5,UFRPLS-20veh-a03-e900-rep5-#0.sca
UFRPLS-20veh-a03-fast,UFRPLS,20,fast,0.3,e900,1.8733062364732,0.93121816946849,0.036702044878538,3.5428219458743,71.0,3.356465634168,1.4880068835487,0.11488344975687,9.9862042457692,4851.0,0.001095673708,4851,1.0,1,1000.0,71.0,0.071,5,UFRPLS-20veh-a03-fast-e900-rep5-#0.sca
UFRPLS-20veh-a05,UFRPLS,20,slow,0.5,e900,2.5929101425373,0.5288357952777,0.029783177437977,3.7159536590988,91.0,2.8452673181597,0.68306646091271,0.043535187465658,5.5767030194808,4204.0,0.0013177459995275,4204,1.0,1,1000.0,91.0,0.091,5,UFRPLS-20veh-a05-e900-rep5-#0.sca
UFRPLS-20veh-a05-fast,UFRPLS,20,fast,0.5,e900,2.791379009502,0.58884448009264,0.19049104341537,4.4930410681412,93.0,3.6994073481677,1.2434827891825,0.043367880937787,9.6970804360137,5499.0,0.00086328654855914,5499,1.0,1,1000.0,93.0,0.093,5,UFRPLS-20veh-a05-fast-e900-rep5-#0.sca
UFRPLS-20veh-a07,UFRPLS,20,slow,0.7,e900,6.6756485129457,1.2413393987818,2.2197913668699,8.5117377978077,64.0,6.258319802651,1.6394776891144,0.070854035642171,9.4513208300092,8761.0,0.00033263499964063,8761,1.0,1,1000.0,64.0,0.064,5,UFRPLS-20veh-a07-e900-rep5-#0.sca
UFRPLS-20veh-a07-fast,UFRPLS,20,fast,0.7,e900,6.1406351951051,1.0802915123303,3.5325304495286,8.175338412805,54.0,6.1070744855393,1.7857358538938,0.040368785489228,11.510022159852,7741.0,0.00056928277061111,7741,1.0,1,1000.0,54.0,0.054,5,UFRPLS-20veh-a07-fast-e900-rep5-#0.sca
UFRPLS-20veh-a09,UFRPLS,20,slow,0.9,e900,6.8846659682169,1.1642268146516,4.4677915085888,8.5462364025064,44.0,7.1103023143258,2.4398747947881,0.00999836768937,14.225250080397,9723.0,0.00024979581470455,9723,1.0,1,1000.0,44.0,0.044,5,UFRPLS-20veh-a09-e900-rep5-#0.sca
UFRPLS-40veh-a01,UFRPLS,40,slow,0.1,e900,0.91441174503179,1.0099229802477,0.00024374172409836,3.6099674899592,108.0,2.7617397123264,1.3843042283181,0.00024374172409836,5.6519563338643,4306.0,0.0011593074792685,4306,1.0,1,1000.0,108.0,0.108,5,UFRPLS-40veh-a01-e900-rep5-#0.sca
UFRPLS-40veh-a03,UFRPLS,40,slow,0.3,e900,1.4520981998348,0.83281219900667,0.082638595527314,3.7936213156635,96.0,2.8069893796099,1.2322875831362,0.090547531532124,5.5661843246068,4624.0,0.0015199785580208,4624,1.0,1,1000.0,96.0,0.096,5,UFRPLS-40veh-a03-e900-rep5-#0.sca
UFRPLS-40veh-a03-fast,UFRPLS,40,fast,0.3,e900,2.7142365686251,1.5100963409766,0.25501920323156,5.856665918886,135.0,3.1003449595882,1.2336167392863,0.082941814050628,8.0612509717276,3911.0,0.0012511756854222,3911,1.0,1,1000.0,135.0,0.135,5,UFRPLS-40veh-a03-fast-e900-rep5-#0.sca
