protocol,n,alpha,speed,avg_min_cs_mean,avg_min_cs_std,avg_min_cs_stddev_mean,avg_min_cs_stddev_std,avg_min_cs_min_mean,avg_min_cs_max_mean,avg_min_cs_count_mean,avg_cs_mean,avg_cs_std,avg_cs_stddev_mean,avg_cs_stddev_std,avg_cs_min_mean,avg_cs_max_mean,avg_cs_count_mean,delay_mean_s,delay_std_s,hops_mean,hops_std,secure_ratio_mean,secure_ratio_std,pdr_mean,pdr_std,pkt_recv_mean,count,cs_pos_max_val,cs_pos_max_tag,cs_pos_min_val,cs_pos_min_tag,delay_pos_max_val,delay_pos_max_tag,delay_pos_min_val,delay_pos_min_tag,pdr_pos_max_val,pdr_pos_max_tag,pdr_pos_min_val,pdr_pos_min_tag
GPSRCS,20,-1.0,fast,0.9742322512828,,1.5689136470399,,0.0,7.8365819880748,854.0,2.7529826666311,,2.6275221205052,,0.0,11.304574070918,1297.0,0.0015051196390726,,1297.0,,0.87124132613724,,0.854,,854.0,1,0.9742322512828,e300,0.9742322512828,e300,0.0015051196390726,e300,0.0015051196390726,e300,0.854,e300,0.854,e300
GPSRCS,20,-1.0,slow,1.2095758954833,,2.0134427765344,,0.0,8.7897303189388,932.0,2.7025945925694,,1.883989869078,,0.0,8.7897303189388,1125.0,0.0012790164650987,,1125.0,,0.85866666666667,,0.932,,932.0,1,1.2095758954833,e300,1.2095758954833,e300,0.0012790164650987,e300,0.0012790164650987,e300,0.932,e300,0.932,e300
GPSRCS,40,-1.0,fast,0.59893571492985,,1.3532190091314,,0.0,7.1187092703788,890.0,0.82798005354551,,1.373104503879,,0.0,9.4908563482017,1001.0,0.0017864342526303,,1001.0,,0.54945054945055,,0.89,,890.0,1,0.59893571492985,e300,0.59893571492985,e300,0.0017864342526303,e300,0.0017864342526303,e300,0.89,e300,0.89,e300
GPSRCS,40,-1.0,slow,0.65588002879084,,1.4281708627247,,0.0,6.9321205162617,971.0,1.4157859068379,,1.3034496320489,,0.0,6.9321205162617,1000.0,0.0070686714389917,,1000.0,,0.85,,0.971,,971.0,1,0.65588002879084,e300,0.65588002879084,e300,0.0070686714389917,e300,0.0070686714389917,e300,0.971,e300,0.971,e300
GPSRCS,60,-1.0,fast,0.43842892990936,,1.2702774914945,,0.0,8.4536891415133,942.0,0.46327124735837,,1.2286397932237,,0.0,8.4536891415133,1000.0,0.00058757196293418,,1000.0,,0.317,,0.942,,942.0,1,0.43842892990936,e300,0.43842892990936,e300,0.00058757196293418,e300,0.00058757196293418,e300,0.942,e300,0.942,e300
GPSRCS,60,-1.0,slow,0.64594520456379,,1.4041219389221,,0.0,7.0898655471286,961.0,0.85283598503144,,1.3314834516567,,0.0,7.0898655471286,1000.0,0.0070595689647888,,1000.0,,0.727,,0.961,,961.0,1,0.64594520456379,e300,0.64594520456379,e300,0.0070595689647888,e300,0.0070595689647888,e300,0.961,e300,0.961,e300
GPSRCS,80,-1.0,fast,1.1681519474204,,0.69940151846626,,0.0,5.9279175559104,1000.0,1.1681519474204,,0.69940151846626,,0.0,5.9279175559104,1000.0,0.000244962112912,,1000.0,,0.933,,1.0,,1000.0,1,1.1681519474204,e300,1.1681519474204,e300,0.000244962112912,e300,0.000244962112912,e300,1.0,e300,1.0,e300
GPSRCS,80,-1.0,slow,0.38251669223186,,1.0871114510396,,0.0,7.2307737865507,966.0,0.42190342328307,,1.0638322217374,,0.0,7.2307737865507,1000.0,0.004619040065882,,1000.0,,0.314,,0.966,,966.0,1,0.38251669223186,e300,0.38251669223186,e300,0.004619040065882,e300,0.004619040065882,e300,0.966,e300,0.966,e300
GPSRCS,100,-1.0,fast,0.94853275568877,,1.7447904425598,,0.0,8.7307909591913,864.0,1.8595070335626,,1.4960722433343,,0.0,8.7307909591913,1000.0,0.001603779190434,,1000.0,,0.813,,0.864,,864.0,1,0.94853275568877,e300,0.94853275568877,e300,0.001603779190434,e300,0.001603779190434,e300,0.864,e300,0.864,e300
GPSRCS,100,-1.0,slow,0.45825578128089,,1.2366856571805,,0.0,6.6235709984801,959.0,0.5822911893664,,1.199463087763,,0.0,6.6235709984801,1000.0,0.0072684729177623,,1000.0,,0.435,,0.959,,959.0,1,0.45825578128089,e300,0.45825578128089,e300,0.0072684729177623,e300,0.0072684729177623,e300,0.959,e300,0.959,e300
UFRPLS,20,0.1,slow,1.223540157787,,0.87117016002472,,0.036878906962443,2.6407275979606,59.0,2.4012835375929,,0.65332718928163,,0.020656840196757,5.9069649786614,6634.0,0.0011539697778136,,6634.0,,1.0,,0.059,,59.0,1,1.223540157787,e300,1.223540157787,e300,0.0011539697778136,e300,0.0011539697778136,e300,0.059,e300,0.059,e300
UFRPLS,20,0.3,fast,1.2108453336125,,0.42930581000242,,0.056280912956673,2.3309078328816,99.0,1.6955837094969,,0.97045032754234,,0.23505496665436,5.8568704283036,3682.0,0.00089679832314141,,3682.0,,1.0,,0.099,,99.0,1,1.2108453336125,e300,1.2108453336125,e300,0.00089679832314141,e300,0.00089679832314141,e300,0.099,e300,0.099,e300
UFRPLS,20,0.3,slow,1.363582172091,,0.55055877897638,,0.039823960858541,2.8256829861063,90.0,2.2179173795514,,0.74156251596582,,0.026893286607191,5.2363120238256,3621.0,0.0010501255116556,,3621.0,,1.0,,0.09,,90.0,1,1.363582172091,e300,1.363582172091,e300,0.0010501255116556,e300,0.0010501255116556,e300,0.09,e300,0.09,e300
UFRPLS,20,0.5,fast,2.6923466852658,,0.68180849472279,,0.74923780045489,5.0956016404895,76.0,3.232187400281,,1.0235716337015,,0.073406564786261,7.2981210219237,4682.0,0.0007454482154079,,4682.0,,1.0,,0.076,,76.0,1,2.6923466852658,e300,2.6923466852658,e300,0.0007454482154079,e300,0.0007454482154079,e300,0.076,e300,0.076,e300
UFRPLS,20,0.5,slow,2.5859405023675,,0.46503443142283,,0.60419290995516,3.456090785085,109.0,2.7990186955496,,0.67414751599119,,0.036167030792114,5.6220981323269,4202.0,0.0011333663775688,,4202.0,,1.0,,0.109,,109.0,1,2.5859405023675,e300,2.5859405023675,e300,0.0011333663775688,e300,0.0011333663775688,e300,0.109,e300,0.109,e300
UFRPLS,20,0.7,fast,6.0725315225832,,1.0131352902807,,3.786350009325,7.5995034464928,47.0,6.0769441419845,,1.760780953477,,0.18279490341909,12.489340966716,10185.0,0.00046297656782979,,10185.0,,1.0,,0.047,,47.0,1,6.0725315225832,e300,6.0725315225832,e300,0.00046297656782979,e300,0.00046297656782979,e300,0.047,e300,0.047,e300
UFRPLS,20,0.7,slow,6.698017551573,,1.1467044515896,,4.3504801953426,8.6219210879253,63.0,6.2376488081037,,1.704312469763,,0.047388397077412,9.2510113933697,9103.0,0.00047499306438095,,9103.0,,1.0,,0.063,,63.0,1,6.698017551573,e300,6.698017551573,e300,0.00047499306438095,e300,0.00047499306438095,e300,0.063,e300,0.063,e300
UFRPLS,20,0.9,slow,6.7560074045832,,1.2423296151517,,4.3778857994269,8.8692093099508,50.0,7.078736402011,,2.4573238003083,,0.008816860077772,14.179205073217,9782.0,0.00027153431804,,9782.0,,1.0,,0.05,,50.0,1,6.7560074045832,e300,6.7560074045832,e300,0.00027153431804,e300,0.00027153431804,e300,0.05,e300,0.05,e300
UFRPLS,40,0.1,slow,0.59655443334169,,0.32783513052857,,0.010531333592809,1.34286760404,39.0,1.0061813215386,,0.42107997650548,,0.043207560822772,2.5583520246798,3455.0,0.001196232779641,,3455.0,,1.0,,0.039,,39.0,1,0.59655443334169,e300,0.59655443334169,e300,0.001196232779641,e300,0.001196232779641,e300,0.039,e300,0.039,e300
UFRPLS,40,0.3,fast,1.1508433800633,,0.21623463817303,,0.64927550750256,1.7151617974767,50.0,1.5873657680829,,0.95010854555744,,0.18617676710217,7.1788962756899,2657.0,0.00136070079598,,2657.0,,1.0,,0.05,,50.0,1,1.1508433800633,e300,1.1508433800633,e300,0.00136070079598,e300,0.00136070079598,e300,0.05,e300,0.05,e300
UFRPLS,40,0.3,slow,1.0847510435095,,0.16877225751861,,0.59354878658595,1.416581172114,40.0,1.313183202887,,0.38084751145374,,0.22668161941655,2.9072500388465,2943.0,0.00135302903285,,2943.0,,1.0,,0.04,,40.0,1,1.0847510435095,e300,1.0847510435095,e300,0.00135302903285,e300,0.00135302903285,e300,0.04,e300,0.04,e300
UFRPLS,40,0.5,fast,2.7103843760234,,0.38741510043434,,1.7895509861923,4.2081289808902,45.0,2.9913698129014,,0.74429678289149,,0.0052037754127241,6.6892182457432,3933.0,0.0012596730307556,,3933.0,,1.0,,0.045,,45.0,1,2.7103843760234,e300,2.7103843760234,e300,0.0012596730307556,e300,0.0012596730307556,e300,0.045,e300,0.045,e300
UFRPLS,40,0.5,slow,2.5611307167846,,0.46347473780442,,1.2722640371678,3.2652151264098,65.0,2.9603132535194,,0.76049007364159,,0.30968716018621,6.0742471893253,4158.0,0.0014933422142769,,4158.0,,1.0,,0.065,,65.0,1,2.5611307167846,e300,2.5611307167846,e300,0.0014933422142769,e300,0.0014933422142769,e300,0.065,e300,0.065,e300
UFRPLS,40,0.7,fast,5.9980548967776,,0.87337099094519,,3.5885678265915,7.7849235243368,28.0,6.1395158027358,,1.4742118721567,,0.022463153149225,10.925564979625,8713.0,0.00068783370035714,,8713.0,,1.0,,0.028,,28.0,1,5.9980548967776,e300,5.9980548967776,e300,0.00068783370035714,e300,0.00068783370035714,e300,0.028,e300,0.028,e300
UFRPLS,40,0.7,slow,5.6913710140683,,1.1745043288474,,2.7852167995309,7.110455854555,33.0,6.125089398961,,1.2729554466455,,0.07551757162328,8.577218162214,10238.0,0.00057847967578788,,10238.0,,1.0,,0.033,,33.0,1,5.6913710140683,e300,5.6913710140683,e300,0.00057847967578788,e300,0.00057847967578788,e300,0.033,e300,0.033,e300
UFRPLS,40,0.9,slow,5.6385605487047,,1.199219233247,,3.3405861076683,7.8638104329051,40.0,6.5059613220609,,1.9421203266929,,0.36717356954194,12.645711632848,8632.0,0.0007335294221,,8632.0,,1.0,,0.04,,40.0,1,5.6385605487047,e300,5.6385605487047,e300,0.0007335294221,e300,0.0007335294221,e300,0.04,e300,0.04,e300
UFRPLS,60,0.1,slow,0.56246530298151,,0.23213687856403,,0.17822971826151,0.88614201590209,25.0,0.55307755224066,,0.28836913342453,,0.046271657643899,2.3094175205147,2462.0,0.00129892471012,,2462.0,,1.0,,0.025,,25.0,1,0.56246530298151,e300,0.56246530298151,e300,0.00129892471012,e300,0.00129892471012,e300,0.025,e300,0.025,e300
UFRPLS,60,0.3,fast,1.0347714721165,,0.60567322425913,,0.079532429153289,3.3806252092529,116.0,1.3624446506551,,0.70185518563289,,0.033255429220581,5.6712032156754,2141.0,0.0010240902830259,,2141.0,,1.0,,0.116,,116.0,1,1.0347714721165,e300,1.0347714721165,e300,0.0010240902830259,e300,0.0010240902830259,e300,0.116,e300,0.116,e300
UFRPLS,60,0.3,slow,1.2009451466999,,0.12064065638037,,0.89876076261289,1.4120278922884,32.0,1.2731724330803,,0.28565489282343,,0.0092166636955398,2.4900479674585,2007.0,0.0011293050474375,,2007.0,,1.0,,0.032,,32.0,1,1.2009451466999,e300,1.2009451466999,e300,0.0011293050474375,e300,0.0011293050474375,e300,0.032,e300,0.032,e300
UFRPLS,60,0.5,fast,2.0956187415285,,1.1835200044427,,0.013439788680323,5.9903492829583,105.0,2.7357851873137,,0.82644227571316,,0.018616638318385,6.1303698962319,3856.0,0.00090262770295238,,3856.0,,1.0,,0.105,,105.0,1,2.0956187415285,e300,2.0956187415285,e300,0.00090262770295238,e300,0.00090262770295238,e300,0.105,e300,0.105,e300
UFRPLS,60,0.5,slow,2.7059431544958,,0.36262637217706,,1.0334926291545,3.2386183581947,42.0,2.9164260959451,,0.4139463188674,,0.016808074104411,5.088267603708,2613.0,0.0014191726579762,,2613.0,,1.0,,0.042,,42.0,1,2.7059431544958,e300,2.7059431544958,e300,0.0014191726579762,e300,0.0014191726579762,e300,0.042,e300,0.042,e300
UFRPLS,60,0.7,fast,3.0069429546404,,2.1535737918303,,0.019099174962079,8.0479934145875,117.0,5.0234909940163,,1.9851396065446,,0.014960121619652,10.462118767555,5542.0,0.00087064308538461,,5542.0,,1.0,,0.117,,117.0,1,3.0069429546404,e300,3.0069429546404,e300,0.00087064308538461,e300,0.00087064308538461,e300,0.117,e300,0.117,e300
UFRPLS,60,0.7,slow,5.9576811587236,,0.75476749699285,,4.3947472593997,7.1608957177244,26.0,6.3711629352718,,1.1366224021645,,0.33939940337025,11.742230446271,9466.0,0.00061606095726923,,9466.0,,1.0,,0.026,,26.0,1,5.9576811587236,e300,5.9576811587236,e300,0.00061606095726923,e300,0.00061606095726923,e300,0.026,e300,0.026,e300
UFRPLS,60,0.9,slow,5.8608740802255,,0.83567655076924,,4.2919125199864,7.0317680097712,32.0,7.6625578918306,,2.1418711870888,,0.31084622690447,12.75705311351,8236.0,0.00082759253671875,,8236.0,,1.0,,0.032,,32.0,1,5.8608740802255,e300,5.8608740802255,e300,0.00082759253671875,e300,0.00082759253671875,e300,0.032,e300,0.032,e300
UFRPLS,80,0.1,slow,0.38140819361211,,0.17604422505611,,0.052264160047216,0.80854562874789,29.0,0.54974478861924,,0.46558700052662,,0.022501708450708,4.0209074059396,1640.0,0.035999486967345,,1640.0,,1.0,,0.029,,29.0,1,0.38140819361211,e300,0.38140819361211,e300,0.035999486967345,e300,0.035999486967345,e300,0.029,e300,0.029,e300
UFRPLS,80,0.3,fast,1.1870030669383,,0.25962832479575,,0.013732921084127,2.1741661506713,364.0,1.2615273796059,,0.23004513870471,,0.1669365962226,5.2534780234868,1468.0,0.0032808191486703,,1468.0,,1.0,,0.364,,364.0,1,1.1870030669383,e300,1.1870030669383,e300,0.0032808191486703,e300,0.0032808191486703,e300,0.364,e300,0.364,e300
UFRPLS,80,0.3,slow,1.100772613712,,0.18607974906013,,0.69133197014654,1.4852286804679,30.0,1.3646275082582,,0.50196865703615,,0.13080997377389,3.8693183455835,1874.0,0.0014916547909667,,1874.0,,1.0,,0.03,,30.0,1,1.100772613712,e300,1.100772613712,e300,0.0014916547909667,e300,0.0014916547909667,e300,0.03,e300,0.03,e300
UFRPLS,80,0.5,fast,2.5160518716559,,0.42919474039085,,0.34984436552566,3.482692856716,258.0,2.851997334132,,0.32060626712286,,0.88593553581159,4.7635448113898,2418.0,0.005908711771186,,2418.0,,1.0,,0.258,,258.0,1,2.5160518716559,e300,2.5160518716559,e300,0.005908711771186,e300,0.005908711771186,e300,0.258,e300,0.258,e300
UFRPLS,80,0.5,slow,2.6947654827267,,0.37116464467518,,1.5878544904695,3.427880839532,31.0,2.8825397336774,,0.42235450609706,,0.30320891050071,5.1062360718193,2815.0,0.099006466281516,,2815.0,,1.0,,0.031,,31.0,1,2.6947654827267,e300,2.6947654827267,e300,0.099006466281516,e300,0.099006466281516,e300,0.031,e300,0.031,e300
UFRPLS,80,0.7,fast,3.9088033809592,,1.5861298314929,,0.091502156587467,6.1087157195971,52.0,6.4165473064952,,0.97293580029925,,0.091502156587467,9.0019291869326,4678.0,0.0019288127374231,,4678.0,,1.0,,0.052,,52.0,1,3.9088033809592,e300,3.9088033809592,e300,0.0019288127374231,e300,0.0019288127374231,e300,0.052,e300,0.052,e300
UFRPLS,80,0.7,slow,5.7416355314616,,0.95952859376908,,3.9513076075786,7.1987046120462,15.0,5.9063670150684,,1.2693802511604,,0.36684398468596,10.080851988347,6486.0,0.00079002187613333,,6486.0,,1.0,,0.015,,15.0,1,5.7416355314616,e300,5.7416355314616,e300,0.00079002187613333,e300,0.00079002187613333,e300,0.015,e300,0.015,e300
UFRPLS,80,0.9,slow,5.5523206428875,,0.86402179667969,,3.9925492089453,7.3455668601752,30.0,6.5975370165603,,2.1332440035248,,0.066071147170639,12.221534558777,5190.0,0.00090077790413333,,5190.0,,1.0,,0.03,,30.0,1,5.5523206428875,e300,5.5523206428875,e300,0.00090077790413333,e300,0.00090077790413333,e300,0.03,e300,0.03,e300
UFRPLS,100,0.1,slow,0.31025742257914,,0.17912198528061,,0.0092211483291678,0.59523749781442,22.0,0.48773401411695,,0.2126019233168,,0.038720781857126,1.8596577890967,1570.0,0.0015723346874091,,1570.0,,1.0,,0.022,,22.0,1,0.31025742257914,e300,0.31025742257914,e300,0.0015723346874091,e300,0.0015723346874091,e300,0.022,e300,0.022,e300
UFRPLS,100,0.3,fast,1.6112444964638,,0.54816688111863,,1.0196602596389,2.6327563602905,17.0,1.8750499894556,,0.56779685511104,,0.01237114640174,3.9822824061438,1877.0,0.0013832504569412,,1877.0,,1.0,,0.017,,17.0,1,1.6112444964638,e300,1.6112444964638,e300,0.0013832504569412,e300,0.0013832504569412,e300,0.017,e300,0.017,e300
UFRPLS,100,0.3,slow,1.0385836641185,,0.29150300319246,,0.14302606097757,1.2877627652176,21.0,1.2277364110852,,0.20397248256584,,0.40533890922648,2.9977044753526,1468.0,0.0018188002234286,,1468.0,,1.0,,0.021,,21.0,1,1.0385836641185,e300,1.0385836641185,e300,0.0018188002234286,e300,0.0018188002234286,e300,0.021,e300,0.021,e300
UFRPLS,100,0.5,fast,2.7217577524364,,0.51828714863489,,0.08150137299603,2.9875191433722,30.0,2.8792325662664,,0.27965783575278,,0.063803158121956,4.6136164492738,1869.0,0.035657616888567,,1869.0,,1.0,,0.03,,30.0,1,2.7217577524364,e300,2.7217577524364,e300,0.035657616888567,e300,0.035657616888567,e300,0.03,e300,0.03,e300
UFRPLS,100,0.5,slow,2.6786111400942,,0.42648025335035,,0.54986672159624,3.278158505793,35.0,2.8071937213968,,0.47611305727671,,0.22373920286752,5.1234330086592,2423.0,0.0021535080679714,,2423.0,,1.0,,0.035,,35.0,1,2.6786111400942,e300,2.6786111400942,e300,0.0021535080679714,e300,0.0021535080679714,e300,0.035,e300,0.035,e300
UFRPLS,100,0.7,fast,6.5917505930613,,0.33393349097055,,6.0441765468227,7.3610333440119,20.0,6.5023495563241,,0.86946722482676,,0.61100213609224,8.5448261684272,3836.0,0.0014227979306,,3836.0,,1.0,,0.02,,20.0,1,6.5917505930613,e300,6.5917505930613,e300,0.0014227979306,e300,0.0014227979306,e300,0.02,e300,0.02,e300
UFRPLS,100,0.7,slow,5.4717834349024,,1.3687862389534,,2.7896170608918,6.8818744181478,22.0,6.2539326087142,,1.1238021906506,,0.19509577491895,10.058320180424,7106.0,0.00098856609672727,,7106.0,,1.0,,0.022,,22.0,1,5.4717834349024,e300,5.4717834349024,e300,0.00098856609672727,e300,0.00098856609672727,e300,0.022,e300,0.022,e300
UFRPLS,100,0.9,slow,5.8130866061999,,1.0574092784366,,2.8380902086585,7.3331011827096,28.0,7.797494622004,,2.0911177200012,,0.11116328054545,12.81146376363,6716.0,0.0011570467871786,,6716.0,,1.0,,0.028,,28.0,1,5.8130866061999,e300,5.8130866061999,e300,0.0011570467871786,e300,0.0011570467871786,e300,0.028,e300,0.028,e300
