config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e300,1.363582172091,0.55055877897638,0.039823960858541,2.8256829861063,90.0,2.2179173795514,0.74156251596582,0.026893286607191,5.2363120238256,3621.0,0.0010501255116556,3621,1.0,1,1000.0,90.0,0.09,3,UFRPLS-20veh-a03-e300-rep3-#0.sca
UFRPLS-20veh-a03-fast,UFRPLS,20,fast,0.3,e300,1.2108453336125,0.42930581000242,0.056280912956673,2.3309078328816,99.0,1.6955837094969,0.97045032754234,0.23505496665436,5.8568704283036,3682.0,0.00089679832314141,3682,1.0,1,1000.0,99.0,0.099,3,UFRPLS-20veh-a03-fast-e300-rep3-#0.sca
UFRPLS-20veh-a05,UFRPLS,20,slow,0.5,e300,2.5859405023675,0.46503443142283,0.60419290995516,3.456090785085,109.0,2.7990186955496,0.67414751599119,0.036167030792114,5.6220981323269,4202.0,0.0011333663775688,4202,1.0,1,1000.0,109.0,0.109,3,UFRPLS-20veh-a05-e300-rep3-#0.sca
UFRPLS-20veh-a05-fast,UFRPLS,20,fast,0.5,e300,2.6923466852658,0.68180849472279,0.74923780045489,5.0956016404895,76.0,3.232187400281,1.0235716337015,0.073406564786261,7.2981210219237,4682.0,0.0007454482154079,4682,1.0,1,1000.0,76.0,0.076,3,UFRPLS-20veh-a05-fast-e300-rep3-#0.sca
UFRPLS-20veh-a07,UFRPLS,20,slow,0.7,e300,6.698017551573,1.1467044515896,4.3504801953426,8.6219210879253,63.0,6.2376488081037,1.704312469763,0.047388397077412,9.2510113933697,9103.0,0.00047499306438095,9103,1.0,1,1000.0,63.0,0.063,3,UFRPLS-20veh-a07-e300-rep3-#0.sca
UFRPLS-20veh-a07-fast,UFRPLS,20,fast,0.7,e300,6.0725315225832,1.0131352902807,3.786350009325,7.5995034464928,47.0,6.0769441419845,1.760780953477,0.18279490341909,12.489340966716,10185.0,0.00046297656782979,10185,1.0,1,1000.0,47.0,0.047,3,UFRPLS-20veh-a07-fast-e300-rep3-#0.sca
UFRPLS-20veh-a09,UFRPLS,20,slow,0.9,e300,6.7560074045832,1.2423296151517,4.3778857994269,8.8692093099508,50.0,7.078736402011,2.4573238003083,0.008816860077772,14.179205073217,9782.0,0.00027153431804,9782,1.0,1,1000.0,50.0,0.05,3,UFRPLS-20veh-a09-e300-rep3-#0.sca
UFRPLS-40veh-a01,UFRPLS,40,slow,0.1,e300,0.59655443334169,0.32783513052857,0.010531333592809,1.34286760404,39.0,1.0061813215386,0.42107997650548,0.043207560822772,2.5583520246798,3455.0,0.001196232779641,3455,1.0,1,1000.0,39.0,0.039,3,UFRPLS-40veh-a01-e300-rep3-#0.sca
UFRPLS-40veh-a03,UFRPLS,40,slow,0.3,e300,1.0847510435095,0.16877225751861,0.59354878658595,1.416581172114,40.0,1.313183202887,0.38084751145374,0.22668161941655,2.9072500388465,2943.0,0.00135302903285,2943,1.0,1,1000.0,40.0,0.04,3,UFRPLS-40veh-a03-e300-rep3-#0.sca
UFRPLS-40veh-a03-fast,UFRPLS,40,fast,0.3,e300,1.1508433800633,0.21623463817303,0.64927550750256,1.7151617974767,50.0,1.5873657680829,0.95010854555744,0.18617676710217,7.1788962756899,2657.0,0.00136070079598,2657,1.0,1,1000.0,50.0,0.05,3,UFRPLS-40veh-a03-fast-e300-rep3-#0.sca
