config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr
GPSRCS-40veh,GPSRCS,40,slow,,e300,0.65588002879084,1.4281708627247,0.0,6.9321205162617,971.0,1.4157859068379,1.3034496320489,0.0,6.9321205162617,1000.0,0.0070686714389917,1000,0.85,1,1000.0,971.0,0.971
GPSRCS-40veh,GPSRCS,40,slow,,e500,0.8345875539097,1.624497121514,0.0,8.3907206459283,983.0,2.2949586947689,1.4565677635003,0.0,8.3907206459283,1000.0,0.0010887426313377,1000,0.862,1,1000.0,983.0,0.983
GPSRCS-40veh,GPSRCS,40,slow,,e700,1.2493405767409,1.5916185437096,0.0,7.9061606467772,982.0,2.8606539806975,1.5783049790824,0.0,7.9061606467772,1000.0,0.0010985744988666,1000,0.872,1,1000.0,982.0,0.982
GPSRCS-40veh,GPSRCS,40,slow,,e900,1.4681583274045,1.668009461836,0.0,8.5405979434169,979.0,3.0089846779887,1.7346204971451,0.0,8.5405979434169,1000.0,0.001118369220668,1000,0.885,1,1000.0,979.0,0.979
GPSRCS-40veh-fast,GPSRCS,40,fast,,e100,0.065373243801161,0.43748699904548,0.0,5.2332079483489,886.0,0.061616604028601,0.41794844835257,0.0,5.2332079483489,1000.0,0.0026983162433251,1000,0.04,1,1000.0,886.0,0.886
GPSRCS-40veh-fast,GPSRCS,40,fast,,e300,0.59893571492985,1.3532190091314,0.0,7.1187092703788,890.0,0.82798005354551,1.373104503879,0.0,9.4908563482017,1001.0,0.0017864342526303,1001,0.54945054945055,1,1000.0,890.0,0.89
GPSRCS-40veh-fast,GPSRCS,40,fast,,e500,1.2312965867923,2.029623611511,0.0,9.5765473477669,901.0,2.4514517204554,1.7487873550088,0.0,9.5765473477669,1000.0,0.0023445345047825,1000,0.858,1,1000.0,901.0,0.901
GPSRCS-40veh-fast,GPSRCS,40,fast,,e700,1.4403599033903,2.1551246193375,0.0,9.6682118581006,881.0,2.9219490931089,1.9114608574052,0.0,9.6682118581006,1000.0,0.0069028111261317,1000,0.862,1,1000.0,881.0,0.881
GPSRCS-40veh-fast,GPSRCS,40,fast,,e900,4.7949556052486,3.7048377699349,0.0,15.572834500618,986.0,5.1509210589208,3.6326632081406,0.0,15.572834500618,1048.0,0.00045017155772921,1048,0.90458015267176,1,1000.0,986.0,0.986
GPSRCS-60veh,GPSRCS,60,slow,,e100,0.01363679698843,0.13061018627941,0.0,1.7836904803557,958.0,0.013064051514916,0.12786443820779,0.0,1.7836904803557,1000.0,0.003435550648761,1000,0.015,1,1000.0,958.0,0.958
GPSRCS-60veh,GPSRCS,60,slow,,e300,0.64594520456379,1.4041219389221,0.0,7.0898655471286,961.0,0.85283598503144,1.3314834516567,0.0,7.0898655471286,1000.0,0.0070595689647888,1000,0.727,1,1000.0,961.0,0.961
GPSRCS-60veh,GPSRCS,60,slow,,e500,1.112989169858,1.9497155692285,0.0,8.5302418478407,964.0,2.1600822746096,1.664552684892,0.0,8.5302418478407,1000.0,0.011517029391665,1000,0.822,1,1000.0,964.0,0.964
GPSRCS-60veh,GPSRCS,60,slow,,e700,1.0844117340727,1.6314443018881,0.0,7.8511266166909,947.0,2.7454482678655,1.5299761223779,0.0,7.8511266166909,1000.0,0.0034816182695998,1000,0.862,1,1000.0,947.0,0.947
GPSRCS-60veh,GPSRCS,60,slow,,e900,0.5644225897385,0.61446806844206,0.0,3.9156173111509,958.0,2.7229157473754,1.5124110499818,0.0,5.0654052947785,1000.0,0.0073491605391931,1000,0.905,1,1000.0,958.0,0.958
GPSRCS-60veh-fast,GPSRCS,60,fast,,e100,1.1555873058285,1.9040479786339,0.0,8.3440187038559,949.0,1.0966523532313,1.8721682992929,0.0,8.3440187038559,1000.0,0.0024081239008851,1000,0.373,1,1000.0,949.0,0.949
GPSRCS-60veh-fast,GPSRCS,60,fast,,e300,0.43842892990936,1.2702774914945,0.0,8.4536891415133,942.0,0.46327124735837,1.2286397932237,0.0,8.4536891415133,1000.0,0.00058757196293418,1000,0.317,1,1000.0,942.0,0.942
GPSRCS-60veh-fast,GPSRCS,60,fast,,e500,4.0277878431349,2.6000389780859,0.0,13.532145822647,1000.0,4.0277878431349,2.6000389780859,0.0,13.532145822647,1000.0,0.000239510473476,1000,0.947,1,1000.0,1000.0,1.0
GPSRCS-60veh-fast,GPSRCS,60,fast,,e700,3.7126547542705,3.1424321594622,0.0,12.627317518276,953.0,4.069154580504,2.7965367389737,0.0,12.627317518276,1000.0,0.00053386862673347,1000,0.914,1,1000.0,953.0,0.953
GPSRCS-60veh-fast,GPSRCS,60,fast,,e900,4.289475298751,3.9348626039108,0.0,16.094195511738,939.0,4.5294406061817,3.6809014114082,0.0,16.094195511738,1000.0,0.0040472270362407,1000,0.877,1,1000.0,939.0,0.939
GPSRCS-80veh,GPSRCS,80,slow,,e100,0.13030936569782,0.61893029345115,0.0,4.9515999690972,968.0,0.12613946599549,0.60936898695823,0.0,4.9515999690972,1000.0,0.0069267077519153,1000,0.066,1,1000.0,968.0,0.968
GPSRCS-80veh,GPSRCS,80,slow,,e300,0.38251669223186,1.0871114510396,0.0,7.2307737865507,966.0,0.42190342328307,1.0638322217374,0.0,7.2307737865507,1000.0,0.004619040065882,1000,0.314,1,1000.0,966.0,0.966
GPSRCS-80veh,GPSRCS,80,slow,,e500,1.3714057622813,2.0649153061286,0.0,9.1253689956675,962.0,2.2228856315314,1.7816884584917,0.0,9.1253689956675,1000.0,0.016874880737299,1000,0.819,1,1000.0,962.0,0.962
GPSRCS-80veh,GPSRCS,80,slow,,e700,1.2083955298199,1.414088576956,0.0,7.6224647113505,958.0,2.5709163122608,1.4492910405701,0.0,7.6224647113505,1000.0,0.0040293566990428,1000,0.883,1,1000.0,958.0,0.958
GPSRCS-80veh,GPSRCS,80,slow,,e900,1.2701144485716,1.6502378426896,0.0,7.3368615607254,963.0,2.891765898266,1.6428204537492,0.0,7.3368615607254,1000.0,0.0014809196555618,1000,0.862,1,1000.0,963.0,0.963
GPSRCS-80veh-fast,GPSRCS,80,fast,,e100,0.092922488402868,0.4729978009919,0.0,3.8486311592214,927.0,0.086139146749459,0.45603004544291,0.0,3.8486311592214,1000.0,0.00065292311554369,1000,0.047,1,1000.0,927.0,0.927
GPSRCS-80veh-fast,GPSRCS,80,fast,,e300,1.1681519474204,0.69940151846626,0.0,5.9279175559104,1000.0,1.1681519474204,0.69940151846626,0.0,5.9279175559104,1000.0,0.000244962112912,1000,0.933,1,1000.0,1000.0,1.0
