config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
GPSRCS-100veh,GPSRCS,100,slow,,e700,1.079633736566,1.7924687714133,0.0,8.0815186707753,961.0,2.310505971568,1.6188394383808,0.0,8.0815186707753,1000.0,0.013708626348505,1000,0.828,1,1000.0,961.0,0.961,4,GPSRCS-100veh-e700-rep4-#0.sca
GPSRCS-100veh-fast,GPSRCS,100,fast,,e700,0.56887002469467,0.90209658480287,0.0,6.1932725648388,853.0,2.5583073677408,1.3034170217971,0.0,6.1932725648388,1000.0,0.0020293599691735,1000,0.902,1,1000.0,853.0,0.853,4,GPSRCS-100veh-fast-e700-rep4-#0.sca
GPSRCS-20veh,GPSRCS,20,slow,,e700,1.2000707860134,2.0070986546554,0.0,8.9351492969965,940.0,2.6877592846023,1.8419679636701,0.0,8.9351492969965,1075.0,0.0012616827935904,1075,0.86697674418605,1,1000.0,940.0,0.94,4,GPSRCS-20veh-e700-rep4-#0.sca
GPSRCS-20veh-fast,GPSRCS,20,fast,,e700,1.6680847910645,2.1882730613465,0.0,9.1609482775204,838.0,4.1966188618848,2.9919207947842,0.0,15.730792316848,1211.0,0.001470796216673,1211,0.89017341040462,1,1000.0,838.0,0.838,4,GPSRCS-20veh-fast-e700-rep4-#0.sca
GPSRCS-40veh,GPSRCS,40,slow,,e700,1.2493405767409,1.5916185437096,0.0,7.9061606467772,982.0,2.8606539806975,1.5783049790824,0.0,7.9061606467772,1000.0,0.0010985744988666,1000,0.872,1,1000.0,982.0,0.982,4,GPSRCS-40veh-e700-rep4-#0.sca
GPSRCS-40veh-fast,GPSRCS,40,fast,,e700,1.4403599033903,2.1551246193375,0.0,9.6682118581006,881.0,2.9219490931089,1.9114608574052,0.0,9.6682118581006,1000.0,0.0069028111261317,1000,0.862,1,1000.0,881.0,0.881,4,GPSRCS-40veh-fast-e700-rep4-#0.sca
GPSRCS-60veh,GPSRCS,60,slow,,e700,1.0844117340727,1.6314443018881,0.0,7.8511266166909,947.0,2.7454482678655,1.5299761223779,0.0,7.8511266166909,1000.0,0.0034816182695998,1000,0.862,1,1000.0,947.0,0.947,4,GPSRCS-60veh-e700-rep4-#0.sca
GPSRCS-60veh-fast,GPSRCS,60,fast,,e700,3.7126547542705,3.1424321594622,0.0,12.627317518276,953.0,4.069154580504,2.7965367389737,0.0,12.627317518276,1000.0,0.00053386862673347,1000,0.914,1,1000.0,953.0,0.953,4,GPSRCS-60veh-fast-e700-rep4-#0.sca
GPSRCS-80veh,GPSRCS,80,slow,,e700,1.2083955298199,1.414088576956,0.0,7.6224647113505,958.0,2.5709163122608,1.4492910405701,0.0,7.6224647113505,1000.0,0.0040293566990428,1000,0.883,1,1000.0,958.0,0.958,4,GPSRCS-80veh-e700-rep4-#0.sca
GPSRCS-80veh-fast,GPSRCS,80,fast,,e700,2.7552200585768,2.3008357425447,0.0,11.551730531514,953.0,2.8886405911817,2.168181529217,0.0,11.551730531514,1000.0,0.0033706118374533,1000,0.842,1,1000.0,953.0,0.953,4,GPSRCS-80veh-fast-e700-rep4-#0.sca
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e700,0.99507851147392,0.5893056693648,0.30372308279462,1.7945654795166,8.0,2.304232599926,1.010862161829,0.04826687455855,4.5862077924724,2676.0,0.002048980131,2676,1.0,1,1000.0,8.0,0.008,4,UFRPLS-100veh-a01-e700-rep4-#0.sca
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e700,1.3815163480505,0.45937081941747,0.73847041946438,2.698212249976,18.0,2.3615098104939,0.84129684956391,0.15568639402603,3.7490584168411,2657.0,0.099298560061833,2657,1.0,1,1000.0,18.0,0.018,4,UFRPLS-100veh-a03-e700-rep4-#0.sca
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e700,1.0915483944822,0.24749537556233,0.072156662339225,1.993226732178,71.0,2.6668322811099,0.94717286882009,0.41278039175307,4.5424291732184,2287.0,0.010556486838408,2287,1.0,1,1000.0,71.0,0.071,4,UFRPLS-100veh-a03-fast-e700-rep4-#0.sca
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e700,2.803456513785,0.11227837184607,2.4983671448134,2.9941359008676,45.0,2.9566289226123,0.34927023327211,0.21861612365874,4.80348673092,2338.0,0.002504007166,2338,1.0,1,1000.0,45.0,0.045,4,UFRPLS-100veh-a05-e700-rep4-#0.sca
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e700,2.5199374656105,0.65425641994649,0.039974713700481,3.5338849827625,58.0,3.163762894753,0.5079896325142,0.58039722287945,6.722172497032,2175.0,0.038553127872741,2175,1.0,1,1000.0,58.0,0.058,4,UFRPLS-100veh-a05-fast-e700-rep4-#0.sca
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e700,6.4224930702327,0.52837166693055,4.9169667956653,7.4022840572241,31.0,6.5965282166968,0.71559107125526,0.26587727108723,8.3417372659083,4047.0,0.0017658977090323,4047,1.0,1,1000.0,31.0,0.031,4,UFRPLS-100veh-a07-e700-rep4-#0.sca
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e700,3.3673596255894,2.3182334626949,0.016182460863895,6.6471468680415,11.0,6.4272332342714,1.0552541317608,0.7380149813189,9.1570541801811,3292.0,0.002136733905,3292,1.0,1,1000.0,11.0,0.011,4,UFRPLS-100veh-a07-fast-e700-rep4-#0.sca
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e700,7.2458901392034,0.83834241861017,6.2153918728302,8.4293993352933,10.0,10.287883853441,2.4489794240442,0.36843972028716,16.405408665431,4495.0,0.0014391814166,4495,1.0,1,1000.0,10.0,0.01,4,UFRPLS-100veh-a09-e700-rep4-#0.sca
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e700,1.1957130868076,0.8784629538344,0.1572100033461,3.0076289922514,57.0,2.3940764952695,0.65892790668041,0.050063008964344,5.2697334869717,6772.0,0.00094845895503509,6772,1.0,1,1000.0,57.0,0.057,4,UFRPLS-20veh-a01-e700-rep4-#0.sca
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e700,1.2241503905273,0.62155353865497,0.025920411647121,2.588439421406,82.0,2.2694861827205,0.67271886729918,0.16917864892796,5.4239754019975,3675.0,0.0011640261332073,3675,1.0,1,1000.0,82.0,0.082,4,UFRPLS-20veh-a03-e700-rep4-#0.sca
UFRPLS-20veh-a03-fast,UFRPLS,20,fast,0.3,e700,2.3460452348766,0.95261532107176,0.15298694668085,3.7439624783181,71.0,3.1357573090591,1.170250235129,0.0057802422884379,7.4530436132549,4780.0,0.00082302323697183,4780,1.0,1,1000.0,71.0,0.071,4,UFRPLS-20veh-a03-fast-e700-rep4-#0.sca
UFRPLS-20veh-a05,UFRPLS,20,slow,0.5,e700,2.6075689256584,0.44758470261633,0.73084985351371,3.2355666165485,93.0,2.8118260287544,0.66998904220509,0.10220901778861,5.393089941875,4064.0,0.0012669077535376,4064,1.0,1,1000.0,93.0,0.093,4,UFRPLS-20veh-a05-e700-rep4-#0.sca
UFRPLS-20veh-a05-fast,UFRPLS,20,fast,0.5,e700,2.9930493107265,0.56809501969777,0.8212848675935,4.0255021954544,57.0,3.4279738673817,0.89106196753716,0.078544113885343,8.8750516123826,5081.0,0.0010762292707193,5081,1.0,1,1000.0,57.0,0.057,4,UFRPLS-20veh-a05-fast-e700-rep4-#0.sca
UFRPLS-20veh-a07,UFRPLS,20,slow,0.7,e700,6.7880665291167,1.1639223639887,4.791381668758,8.6663380924721,61.0,6.2113984227877,1.6722163059531,0.047388397077412,8.6686666690522,8789.0,0.00032980536901639,8789,1.0,1,1000.0,61.0,0.061,4,UFRPLS-20veh-a07-e700-rep4-#0.sca
UFRPLS-20veh-a07-fast,UFRPLS,20,fast,0.7,e700,6.3766711242647,0.83919489657965,4.0138226662184,7.8884383783551,59.0,6.4388200925227,1.7141794242142,0.1470389446767,11.338383137647,8438.0,0.00057815282384746,8438,1.0,1,1000.0,59.0,0.059,4,UFRPLS-20veh-a07-fast-e700-rep4-#0.sca
UFRPLS-20veh-a09,UFRPLS,20,slow,0.9,e700,6.8505995121813,1.0507605235331,4.9097253986867,8.4669579431512,46.0,7.107331245951,2.3936484274651,0.024890121680194,14.052820687928,9743.0,0.00033758831513043,9743,1.0,1,1000.0,46.0,0.046,4,UFRPLS-20veh-a09-e700-rep4-#0.sca
UFRPLS-40veh-a01,UFRPLS,40,slow,0.1,e700,1.2207893821214,1.1181385997805,0.082215028903619,3.4554826842662,57.0,2.7215012343948,1.0654602215864,0.029239991453245,4.9079762043194,4190.0,0.0012512312859825,4190,1.0,1,1000.0,57.0,0.057,4,UFRPLS-40veh-a01-e700-rep4-#0.sca
UFRPLS-40veh-a03,UFRPLS,40,slow,0.3,e700,1.3866338709907,0.7017734458198,0.22203234813926,3.2712612366531,68.0,2.7673802927762,0.96421994083601,0.22195023581071,5.0818018230201,4255.0,0.0015054639594265,4255,1.0,1,1000.0,68.0,0.068,4,UFRPLS-40veh-a03-e700-rep4-#0.sca
