config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
GPSRCS-100veh,GPSRCS,100,slow,,e500,1.2297908459481,1.9164231178274,0.0,8.9037723864948,965.0,1.8632757502784,1.6879455935627,0.0,8.9037723864948,1000.0,0.0080809374792725,1000,0.817,1,1000.0,965.0,0.965,1,GPSRCS-100veh-e500-rep1-#0.sca
GPSRCS-100veh-fast,GPSRCS,100,fast,,e500,2.9904995580318,2.2484326932206,0.0,10.44341117277,990.0,2.9787451833177,2.2395983617521,0.0,10.44341117277,1000.0,0.00045998812462525,1000,0.839,1,1000.0,990.0,0.99,1,GPSRCS-100veh-fast-e500-rep1-#0.sca
GPSRCS-20veh,GPSRCS,20,slow,,e500,1.214600030218,2.0150267468253,0.0,8.8143695314126,923.0,2.6791764936399,1.8553782393001,0.0,8.8143695314126,1113.0,0.0012356466919415,1113,0.87511230907457,1,1000.0,923.0,0.923,1,GPSRCS-20veh-e500-rep1-#0.sca
GPSRCS-20veh-fast,GPSRCS,20,fast,,e500,1.5416166526097,2.0675260501916,0.0,9.1225081360221,829.0,3.8422979398098,2.9518788983082,0.0,14.176486428575,1256.0,0.0014296998313269,1256,0.88375796178344,1,1000.0,829.0,0.829,1,GPSRCS-20veh-fast-e500-rep1-#0.sca
GPSRCS-40veh,GPSRCS,40,slow,,e500,0.8345875539097,1.624497121514,0.0,8.3907206459283,983.0,2.2949586947689,1.4565677635003,0.0,8.3907206459283,1000.0,0.0010887426313377,1000,0.862,1,1000.0,983.0,0.983,1,GPSRCS-40veh-e500-rep1-#0.sca
GPSRCS-40veh-fast,GPSRCS,40,fast,,e500,1.2312965867923,2.029623611511,0.0,9.5765473477669,901.0,2.4514517204554,1.7487873550088,0.0,9.5765473477669,1000.0,0.0023445345047825,1000,0.858,1,1000.0,901.0,0.901,1,GPSRCS-40veh-fast-e500-rep1-#0.sca
GPSRCS-60veh,GPSRCS,60,slow,,e500,1.112989169858,1.9497155692285,0.0,8.5302418478407,964.0,2.1600822746096,1.664552684892,0.0,8.5302418478407,1000.0,0.011517029391665,1000,0.822,1,1000.0,964.0,0.964,1,GPSRCS-60veh-e500-rep1-#0.sca
GPSRCS-60veh-fast,GPSRCS,60,fast,,e500,4.0277878431349,2.6000389780859,0.0,13.532145822647,1000.0,4.0277878431349,2.6000389780859,0.0,13.532145822647,1000.0,0.000239510473476,1000,0.947,1,1000.0,1000.0,1.0,1,GPSRCS-60veh-fast-e500-rep1-#0.sca
GPSRCS-80veh,GPSRCS,80,slow,,e500,1.3714057622813,2.0649153061286,0.0,9.1253689956675,962.0,2.2228856315314,1.7816884584917,0.0,9.1253689956675,1000.0,0.016874880737299,1000,0.819,1,1000.0,962.0,0.962,1,GPSRCS-80veh-e500-rep1-#0.sca
GPSRCS-80veh-fast,GPSRCS,80,fast,,e500,4.6380126194219,2.0921089003268,0.0,9.7597868183122,1000.0,4.6380126194219,2.0921089003268,0.0,9.7597868183122,1000.0,0.000236399983072,1000,0.94,1,1000.0,1000.0,1.0,1,GPSRCS-80veh-fast-e500-rep1-#0.sca
UFRPLS-100veh-a01,UFRPLS,100,slow,0.1,e500,0.79134269786666,0.71967316854169,0.033204778620856,2.260874395339,22.0,1.6677856347694,0.65758044796303,0.08621837891954,5.1417774237639,2413.0,0.0026986648504545,2413,1.0,1,1000.0,22.0,0.022,1,UFRPLS-100veh-a01-e500-rep1-#0.sca
UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,e500,1.3526365732239,0.3426184990782,0.96327042815768,2.2881976539936,24.0,1.7295395254971,0.45172517750704,0.45720996097935,4.4997817924589,2469.0,0.044883854138125,2469,1.0,1,1000.0,24.0,0.024,1,UFRPLS-100veh-a03-e500-rep1-#0.sca
UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,e500,1.8777532221849,0.85102186583092,0.03464303470038,3.4164420852481,80.0,2.5219639088269,0.83848105215755,0.57813558893443,6.1165336718459,2100.0,0.001499372630275,2100,1.0,1,1000.0,80.0,0.08,1,UFRPLS-100veh-a03-fast-e500-rep1-#0.sca
UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,e500,2.8149463490526,0.079507821169054,2.5961598432326,2.9586331140822,36.0,2.8862027979154,0.31797663942279,0.48008327160524,5.6963849117879,1775.0,0.0023814610679444,1775,1.0,1,1000.0,36.0,0.036,1,UFRPLS-100veh-a05-e500-rep1-#0.sca
UFRPLS-100veh-a05-fast,UFRPLS,100,fast,0.5,e500,2.7592899333737,0.34236469494361,0.76001427340401,3.3982607784909,77.0,2.9922525775844,0.36857074031797,0.37985012759886,4.6964019873763,1964.0,0.028302502713286,1964,1.0,1,1000.0,77.0,0.077,1,UFRPLS-100veh-a05-fast-e500-rep1-#0.sca
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e500,6.549947749114,0.23482966265827,6.094805390654,7.0636765587698,21.0,6.629747850632,0.71813575709621,0.62687920556061,9.3897644255396,4846.0,0.0015067096897619,4846,1.0,1,1000.0,21.0,0.021,1,UFRPLS-100veh-a07-e500-rep1-#0.sca
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e500,6.2845851517455,1.2347773729423,0.071890755981016,7.1040553854069,69.0,6.5765479228101,0.81527711512114,0.16352133745908,9.6183633402182,3197.0,0.0020333808841739,3197,1.0,1,1000.0,69.0,0.069,1,UFRPLS-100veh-a07-fast-e500-rep1-#0.sca
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e500,8.0862438649717,0.88684073824872,5.7155980531139,9.357180284914,26.0,9.1372598514333,1.8363824293289,0.26216108211816,14.152226317163,5292.0,0.0016040289812308,5292,1.0,1,1000.0,26.0,0.026,1,UFRPLS-100veh-a09-e500-rep1-#0.sca
UFRPLS-20veh-a01,UFRPLS,20,slow,0.1,e500,1.211515008407,0.7932061258156,0.16261364072701,2.6900655423845,46.0,2.383761746041,0.67259851309806,0.0083927753849089,5.685890081209,6904.0,0.001083325581087,6904,1.0,1,1000.0,46.0,0.046,1,UFRPLS-20veh-a01-e500-rep1-#0.sca
UFRPLS-20veh-a03,UFRPLS,20,slow,0.3,e500,1.4116181770125,0.60857470646809,0.32567005373065,2.701020178818,89.0,2.278616366009,0.66399052995947,0.025087981204834,5.4909521235488,3701.0,0.0010735893536742,3701,1.0,1,1000.0,89.0,0.089,1,UFRPLS-20veh-a03-e500-rep1-#0.sca
UFRPLS-20veh-a03-fast,UFRPLS,20,fast,0.3,e500,2.1548839238662,0.71145639345379,0.78982959605067,3.8198126362703,78.0,2.3844274744072,0.88384884390747,0.060594518387546,7.1828667934874,4159.0,0.000816971453,4159,1.0,1,1000.0,78.0,0.078,1,UFRPLS-20veh-a03-fast-e500-rep1-#0.sca
UFRPLS-20veh-a05,UFRPLS,20,slow,0.5,e500,2.5592291952358,0.57603060436103,0.19719724266858,3.8395548762526,109.0,2.8139394314447,0.6487728609356,0.043837295604575,5.2391762421824,4128.0,0.0012817855418624,4128,1.0,1,1000.0,109.0,0.109,1,UFRPLS-20veh-a05-e500-rep1-#0.sca
UFRPLS-20veh-a05-fast,UFRPLS,20,fast,0.5,e500,2.6106967441884,0.49308891180976,0.50839334056369,3.8064236100396,107.0,3.0226490623092,1.2333881976702,0.02864464017825,9.1621365990691,4140.0,0.00094850050895327,4140,1.0,1,1000.0,107.0,0.107,1,UFRPLS-20veh-a05-fast-e500-rep1-#0.sca
UFRPLS-20veh-a07,UFRPLS,20,slow,0.7,e500,6.7003654469111,1.2414560873838,2.9600789424065,8.5977529842278,62.0,6.1865233499792,1.7266537426817,0.023741931918252,9.414336931797,8773.0,0.00031328299856452,8773,1.0,1,1000.0,62.0,0.062,1,UFRPLS-20veh-a07-e500-rep1-#0.sca
UFRPLS-20veh-a07-fast,UFRPLS,20,fast,0.7,e500,6.2001193705629,1.0939672547786,3.2724518895271,8.9996091886883,66.0,6.2551485228252,1.7140824915524,0.024252645905698,13.826738410495,9002.0,0.00048224529419697,9002,1.0,1,1000.0,66.0,0.066,1,UFRPLS-20veh-a07-fast-e500-rep1-#0.sca
UFRPLS-20veh-a09,UFRPLS,20,slow,0.9,e500,6.860160116431,1.0910951492332,4.5417820915969,8.5738251580083,45.0,7.1400004747746,2.43289602897,0.037360966238012,14.214228319819,9801.0,0.00049332155748889,9801,1.0,1,1000.0,45.0,0.045,1,UFRPLS-20veh-a09-e500-rep1-#0.sca
UFRPLS-40veh-a01,UFRPLS,40,slow,0.1,e500,1.1251275893709,0.98840651345182,0.026389829296498,3.1053094767621,24.0,2.1018493852293,0.60354232715955,0.038059309798026,3.7187442121543,4358.0,0.002105061242375,4358,1.0,1,1000.0,24.0,0.024,1,UFRPLS-40veh-a01-e500-rep1-#0.sca
