config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr,rep,file
GPSRCS-100veh,GPSRCS,100,slow,,e100,0.020900211247919,0.18362002175479,0.0,2.4138871375338,971.0,0.020294105121729,0.18096926057279,0.0,2.4138871375338,1000.0,0.011630150426669,1000,0.016,1,1000.0,971.0,0.971,2,GPSRCS-100veh-e100-rep2-#0.sca
GPSRCS-100veh-fast,GPSRCS,100,fast,,e100,0.0237209016688,0.19501060638362,0.0,2.4447601234037,871.0,0.020660905353524,0.18215859269048,0.0,2.4447601234037,1000.0,0.010030239955162,1000,0.017,1,1000.0,871.0,0.871,2,GPSRCS-100veh-fast-e100-rep2-#0.sca
GPSRCS-20veh,GPSRCS,20,slow,,e100,1.211346252014,2.0189305937587,0.0,8.9468963721571,926.0,2.8428749610113,1.9488949846083,0.0,8.9468963721571,1161.0,0.001257055362338,1161,0.86907838070629,1,1000.0,926.0,0.926,2,GPSRCS-20veh-e100-rep2-#0.sca
GPSRCS-20veh-fast,GPSRCS,20,fast,,e100,0.2208269259359,0.81480235781289,0.0,6.4592354159544,832.0,0.88098029408523,1.8077782048316,0.0,11.088806857921,1219.0,0.0015094749623161,1219,0.33880229696473,1,1000.0,832.0,0.832,2,GPSRCS-20veh-fast-e100-rep2-#0.sca
GPSRCS-40veh,GPSRCS,40,slow,,e100,0.10414564032741,0.49927799393501,0.0,4.0870489797592,987.0,0.10279174700315,0.49615920734546,0.0,4.0870489797592,1000.0,0.001139930563997,1000,0.061,1,1000.0,987.0,0.987,2,GPSRCS-40veh-e100-rep2-#0.sca
GPSRCS-40veh-fast,GPSRCS,40,fast,,e100,0.065373243801161,0.43748699904548,0.0,5.2332079483489,886.0,0.061616604028601,0.41794844835257,0.0,5.2332079483489,1000.0,0.0026983162433251,1000,0.04,1,1000.0,886.0,0.886,2,GPSRCS-40veh-fast-e100-rep2-#0.sca
GPSRCS-60veh,GPSRCS,60,slow,,e100,0.01363679698843,0.13061018627941,0.0,1.7836904803557,958.0,0.013064051514916,0.12786443820779,0.0,1.7836904803557,1000.0,0.003435550648761,1000,0.015,1,1000.0,958.0,0.958,2,GPSRCS-60veh-e100-rep2-#0.sca
GPSRCS-60veh-fast,GPSRCS,60,fast,,e100,1.1555873058285,1.9040479786339,0.0,8.3440187038559,949.0,1.0966523532313,1.8721682992929,0.0,8.3440187038559,1000.0,0.0024081239008851,1000,0.373,1,1000.0,949.0,0.949,2,GPSRCS-60veh-fast-e100-rep2-#0.sca
GPSRCS-80veh,GPSRCS,80,slow,,e100,0.13030936569782,0.61893029345115,0.0,4.9515999690972,968.0,0.12613946599549,0.60936898695823,0.0,4.9515999690972,1000.0,0.0069267077519153,1000,0.066,1,1000.0,968.0,0.968,2,GPSRCS-80veh-e100-rep2-#0.sca
GPSRCS-80veh-fast,GPSRCS,80,fast,,e100,0.092922488402868,0.4729978009919,0.0,3.8486311592214,927.0,0.086139146749459,0.45603004544291,0.0,3.8486311592214,1000.0,0.00065292311554369,1000,0.047,1,1000.0,927.0,0.927,2,GPSRCS-80veh-fast-e100-rep2-#0.sca
