file,config,alpha,rep,vehicle,role,mean,std,min,max,count
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,37,relay,1.8234290549855,1.1092684245617,0.0,3.3305492410668,21.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,38,relay,2.9663818647374,1.7187060296791,0.42950312583818,7.2497021584027,26.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,39,relay,2.7243311892015,2.2582189611489,0.31499494075216,10.650248460511,33.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,40,relay,3.2385650776536,2.0087765525341,0.30709384811847,9.2133134000655,16.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,41,relay,2.5297910769775,1.0181614443639,0.0,5.2045303391488,25.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,42,relay,1.9262253509825,1.2206927168113,0.06115549603928,4.6404778468814,22.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,43,relay,2.9655392114263,2.0774523845861,0.020196688336668,8.706950936732,38.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,44,relay,1.9167475852149,1.2503105790621,0.14117681513971,3.5030750723981,22.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,45,relay,3.5909419356894,2.7634565122924,0.44159898762969,10.444413150411,24.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,46,relay,2.7261547096727,1.7905692655723,0.065735097364758,8.2042239892181,25.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,47,relay,3.8878898473981,1.8744708235585,1.1046463344618,11.210223874362,35.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,48,relay,3.0116064091691,1.6041140447108,0.37919434393542,5.9453588090124,37.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,49,relay,3.0216768179384,1.3473700440014,0.50207560278681,5.312792044274,31.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,50,relay,7.1240153553585,2.8381763777104,1.2808438428992,14.309865081759,33.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,51,relay,6.5605012008265,3.0915665114678,1.8508124191278,13.612896843466,28.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,52,relay,5.7174348235784,3.2550380002485,1.4806437544953,14.536983233835,21.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,53,relay,5.4360668566563,3.958311818328,0.24851528498921,14.133709166727,34.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,54,relay,5.3712551400721,3.2216385167917,0.45231133787142,15.661666995057,23.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,55,relay,6.6010289114237,2.373367416244,0.94924745064782,12.077527344614,36.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,56,relay,8.8198700764828,3.7441706591539,0.0,16.209644184463,51.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,57,relay,4.6629381426713,4.5365215885762,0.0,14.373137274118,18.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,58,relay,6.4862847293924,2.9508879536016,0.0,10.874204418559,21.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,59,relay,6.350297028712,3.661916501214,0.0,15.544263125595,22.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,60,relay,6.1544152790918,2.663208548663,0.27064419089042,12.743612969375,30.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,61,relay,4.5517116759023,5.6890182042873,0.0,16.339629621333,14.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,62,relay,3.5967128018365,3.3732002406539,0.0,11.937659154789,24.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,63,relay,5.9287273971128,4.6349131461163,1.9652536287089,13.357007689414,8.0
GPSRCS-100veh-e100-rep2-#0.sca,GPSRCS-100veh,,2,64,relay,4.2578001364046,3.752879723403,0.0,15.369624702162,21.0
