timestamp,rep,config,eav_pos_m,seed,status,scalar_file
2026-05-02T21:00:31,1,UFRPLS-40veh-a03-fast,500.0,1,OK,results\UFRPLS-40veh-a03-fast-e500-rep1-#0.sca
2026-05-02T21:02:48,1,UFRPLS-60veh-a03-fast,500.0,1,OK,results\UFRPLS-60veh-a03-fast-e500-rep1-#0.sca
2026-05-02T21:06:17,1,UFRPLS-80veh-a03-fast,500.0,1,OK,results\UFRPLS-80veh-a03-fast-e500-rep1-#0.sca
2026-05-02T21:11:19,1,UFRPLS-100veh-a03-fast,500.0,1,OK,results\UFRPLS-100veh-a03-fast-e500-rep1-#0.sca
2026-05-02T21:12:10,1,UFRPLS-20veh-a07-fast,500.0,1,OK,results\UFRPLS-20veh-a07-fast-e500-rep1-#0.sca
2026-05-02T21:13:55,1,UFRPLS-40veh-a07-fast,500.0,1,OK,results\UFRPLS-40veh-a07-fast-e500-rep1-#0.sca
2026-05-02T21:16:29,1,UFRPLS-60veh-a07-fast,500.0,1,OK,results\UFRPLS-60veh-a07-fast-e500-rep1-#0.sca
2026-05-02T21:20:26,1,UFRPLS-80veh-a07-fast,500.0,1,OK,results\UFRPLS-80veh-a07-fast-e500-rep1-#0.sca
2026-05-02T21:26:39,1,UFRPLS-100veh-a07-fast,500.0,1,OK,results\UFRPLS-100veh-a07-fast-e500-rep1-#0.sca
2026-05-02T21:26:57,2,GPSRCS-20veh,100.0,2,OK,results\GPSRCS-20veh-e100-rep2-#0.sca
2026-05-02T21:27:34,2,GPSRCS-40veh,100.0,2,OK,results\GPSRCS-40veh-e100-rep2-#0.sca
2026-05-02T21:28:41,2,GPSRCS-60veh,100.0,2,OK,results\GPSRCS-60veh-e100-rep2-#0.sca
2026-05-02T21:30:40,2,GPSRCS-80veh,100.0,2,OK,results\GPSRCS-80veh-e100-rep2-#0.sca
2026-05-02T21:33:23,2,GPSRCS-100veh,100.0,2,OK,results\GPSRCS-100veh-e100-rep2-#0.sca
2026-05-02T21:34:09,2,UFRPLS-20veh-a05,100.0,2,OK,results\UFRPLS-20veh-a05-e100-rep2-#0.sca
2026-05-02T21:35:35,2,UFRPLS-40veh-a05,100.0,2,OK,results\UFRPLS-40veh-a05-e100-rep2-#0.sca
2026-05-02T21:37:13,2,UFRPLS-60veh-a05,100.0,2,OK,results\UFRPLS-60veh-a05-e100-rep2-#0.sca
2026-05-02T21:40:59,2,UFRPLS-80veh-a05,100.0,2,OK,results\UFRPLS-80veh-a05-e100-rep2-#0.sca
2026-05-02T21:45:20,2,UFRPLS-100veh-a05,100.0,2,OK,results\UFRPLS-100veh-a05-e100-rep2-#0.sca
2026-05-02T21:45:59,2,UFRPLS-20veh-a03,100.0,2,OK,results\UFRPLS-20veh-a03-e100-rep2-#0.sca
2026-05-02T21:47:04,2,UFRPLS-40veh-a03,100.0,2,OK,results\UFRPLS-40veh-a03-e100-rep2-#0.sca
2026-05-02T21:48:36,2,UFRPLS-60veh-a03,100.0,2,OK,results\UFRPLS-60veh-a03-e100-rep2-#0.sca
2026-05-02T21:51:59,2,UFRPLS-80veh-a03,100.0,2,OK,results\UFRPLS-80veh-a03-e100-rep2-#0.sca
2026-05-02T21:56:14,2,UFRPLS-100veh-a03,100.0,2,OK,results\UFRPLS-100veh-a03-e100-rep2-#0.sca
2026-05-02T21:57:01,2,UFRPLS-20veh-a07,100.0,2,OK,results\UFRPLS-20veh-a07-e100-rep2-#0.sca
2026-05-02T21:58:26,2,UFRPLS-40veh-a07,100.0,2,OK,results\UFRPLS-40veh-a07-e100-rep2-#0.sca
2026-05-02T21:59:55,2,UFRPLS-60veh-a07,100.0,2,OK,results\UFRPLS-60veh-a07-e100-rep2-#0.sca
2026-05-02T22:03:41,2,UFRPLS-80veh-a07,100.0,2,OK,results\UFRPLS-80veh-a07-e100-rep2-#0.sca
2026-05-02T22:08:00,2,UFRPLS-100veh-a07,100.0,2,OK,results\UFRPLS-100veh-a07-e100-rep2-#0.sca
2026-05-02T22:08:40,2,UFRPLS-20veh-a01,100.0,2,OK,results\UFRPLS-20veh-a01-e100-rep2-#0.sca
2026-05-02T22:09:42,2,UFRPLS-40veh-a01,100.0,2,OK,results\UFRPLS-40veh-a01-e100-rep2-#0.sca
2026-05-02T22:11:11,2,UFRPLS-60veh-a01,100.0,2,OK,results\UFRPLS-60veh-a01-e100-rep2-#0.sca
2026-05-02T22:14:16,2,UFRPLS-80veh-a01,100.0,2,OK,results\UFRPLS-80veh-a01-e100-rep2-#0.sca
2026-05-02T22:18:23,2,UFRPLS-100veh-a01,100.0,2,OK,results\UFRPLS-100veh-a01-e100-rep2-#0.sca
2026-05-02T22:19:11,2,UFRPLS-20veh-a09,100.0,2,OK,results\UFRPLS-20veh-a09-e100-rep2-#0.sca
2026-05-02T22:20:32,2,UFRPLS-40veh-a09,100.0,2,OK,results\UFRPLS-40veh-a09-e100-rep2-#0.sca
2026-05-02T22:22:04,2,UFRPLS-60veh-a09,100.0,2,OK,results\UFRPLS-60veh-a09-e100-rep2-#0.sca
2026-05-02T22:25:46,2,UFRPLS-80veh-a09,100.0,2,OK,results\UFRPLS-80veh-a09-e100-rep2-#0.sca
2026-05-02T22:29:58,2,UFRPLS-100veh-a09,100.0,2,OK,results\UFRPLS-100veh-a09-e100-rep2-#0.sca
2026-05-02T22:30:16,2,GPSRCS-20veh-fast,100.0,2,OK,results\GPSRCS-20veh-fast-e100-rep2-#0.sca
2026-05-02T22:30:50,2,GPSRCS-40veh-fast,100.0,2,OK,results\GPSRCS-40veh-fast-e100-rep2-#0.sca
2026-05-02T22:31:51,2,GPSRCS-60veh-fast,100.0,2,OK,results\GPSRCS-60veh-fast-e100-rep2-#0.sca
2026-05-02T22:33:35,2,GPSRCS-80veh-fast,100.0,2,OK,results\GPSRCS-80veh-fast-e100-rep2-#0.sca
2026-05-02T22:36:30,2,GPSRCS-100veh-fast,100.0,2,OK,results\GPSRCS-100veh-fast-e100-rep2-#0.sca
2026-05-02T22:37:10,2,UFRPLS-20veh-a05-fast,100.0,2,OK,results\UFRPLS-20veh-a05-fast-e100-rep2-#0.sca
