protocol,n,alpha,speed,avg_min_cs_mean,avg_min_cs_std,avg_min_cs_stddev_mean,avg_min_cs_stddev_std,avg_min_cs_min_mean,avg_min_cs_max_mean,avg_min_cs_count_mean,avg_cs_mean,avg_cs_std,avg_cs_stddev_mean,avg_cs_stddev_std,avg_cs_min_mean,avg_cs_max_mean,avg_cs_count_mean,delay_mean_s,delay_std_s,hops_mean,hops_std,secure_ratio_mean,secure_ratio_std,pdr_mean,pdr_std,pkt_recv_mean,count,cs_pos_max_val,cs_pos_max_tag,cs_pos_min_val,cs_pos_min_tag,delay_pos_max_val,delay_pos_max_tag,delay_pos_min_val,delay_pos_min_tag,pdr_pos_max_val,pdr_pos_max_tag,pdr_pos_min_val,pdr_pos_min_tag
GPSRCS,20,-1.0,fast,1.4522278585037,,1.8361766889679,,0.0,8.1227339405705,875.0,4.3645882920249,,3.1075393675813,,0.0,15.984836943176,1207.0,0.0014735706137246,,1207.0,,0.90969345484673,,0.875,,875.0,1,1.4522278585037,e900,1.4522278585037,e900,0.0014735706137246,e900,0.0014735706137246,e900,0.875,e900,0.875,e900
GPSRCS,20,-1.0,slow,1.1995833554874,,2.0153751781648,,0.0,8.9419647675389,937.0,2.6937729352974,,1.8596359490227,,0.0,8.9419647675389,1097.0,0.0023274158553042,,1097.0,,0.86964448495898,,0.937,,937.0,1,1.1995833554874,e900,1.1995833554874,e900,0.0023274158553042,e900,0.0023274158553042,e900,0.937,e900,0.937,e900
GPSRCS,40,-1.0,fast,4.7949556052486,,3.7048377699349,,0.0,15.572834500618,986.0,5.1509210589208,,3.6326632081406,,0.0,15.572834500618,1048.0,0.00045017155772921,,1048.0,,0.90458015267176,,0.986,,986.0,1,4.7949556052486,e900,4.7949556052486,e900,0.00045017155772921,e900,0.00045017155772921,e900,0.986,e900,0.986,e900
GPSRCS,40,-1.0,slow,1.4681583274045,,1.668009461836,,0.0,8.5405979434169,979.0,3.0089846779887,,1.7346204971451,,0.0,8.5405979434169,1000.0,0.001118369220668,,1000.0,,0.885,,0.979,,979.0,1,1.4681583274045,e900,1.4681583274045,e900,0.001118369220668,e900,0.001118369220668,e900,0.979,e900,0.979,e900
GPSRCS,60,-1.0,fast,4.289475298751,,3.9348626039108,,0.0,16.094195511738,939.0,4.5294406061817,,3.6809014114082,,0.0,16.094195511738,1000.0,0.0040472270362407,,1000.0,,0.877,,0.939,,939.0,1,4.289475298751,e900,4.289475298751,e900,0.0040472270362407,e900,0.0040472270362407,e900,0.939,e900,0.939,e900
GPSRCS,60,-1.0,slow,0.5644225897385,,0.61446806844206,,0.0,3.9156173111509,958.0,2.7229157473754,,1.5124110499818,,0.0,5.0654052947785,1000.0,0.0073491605391931,,1000.0,,0.905,,0.958,,958.0,1,0.5644225897385,e900,0.5644225897385,e900,0.0073491605391931,e900,0.0073491605391931,e900,0.958,e900,0.958,e900
GPSRCS,80,-1.0,fast,3.3019896265211,,3.1685726357243,,0.0,15.060373760359,907.0,3.5806742047999,,2.8606733458778,,0.0,15.060373760359,1000.0,0.0037529666864719,,1000.0,,0.865,,0.907,,907.0,1,3.3019896265211,e900,3.3019896265211,e900,0.0037529666864719,e900,0.0037529666864719,e900,0.907,e900,0.907,e900
GPSRCS,80,-1.0,slow,1.2701144485716,,1.6502378426896,,0.0,7.3368615607254,963.0,2.891765898266,,1.6428204537492,,0.0,7.3368615607254,1000.0,0.0014809196555618,,1000.0,,0.862,,0.963,,963.0,1,1.2701144485716,e900,1.2701144485716,e900,0.0014809196555618,e900,0.0014809196555618,e900,0.963,e900,0.963,e900
GPSRCS,100,-1.0,fast,1.953767037592,,2.3055833442833,,0.0,10.673507128794,886.0,3.0639065650428,,2.1161259579155,,0.0,10.673507128794,1000.0,0.0046958191297686,,1000.0,,0.826,,0.886,,886.0,1,1.953767037592,e900,1.953767037592,e900,0.0046958191297686,e900,0.0046958191297686,e900,0.886,e900,0.886,e900
GPSRCS,100,-1.0,slow,1.2224606196564,,1.6061156142485,,0.0,7.0563975932199,971.0,2.8684315386348,,1.6351202769616,,0.0,7.0563975932199,1000.0,0.0092653979510793,,1000.0,,0.857,,0.971,,971.0,1,1.2224606196564,e900,1.2224606196564,e900,0.0092653979510793,e900,0.0092653979510793,e900,0.971,e900,0.971,e900
